fdc_id,description,food_category_id
320470,"TOMATOES, GRAPE",11
320471,"TOMATOES, GRAPE",11
320472,"TOMATOES, GRAPE",11
320473,"TOMATOES, GRAPE",11
320474,"TOMATOES, GRAPE",11
320475,"TOMATOES, GRAPE",11
320476,"TOMATOES, GRAPE",11
320477,"TOMATOES, GRAPE",11
320478,"TOMATOES, GRAPE",11
320479,"TOMATOES, GRAPE",11
320480,"TOMATOES, GRAPE",11
320481,"TOMATOES, GRAPE",11
320482,"TOMATOES, GRAPE",11
320483,"TOMATOES, GRAPE",11
320484,"TOMATOES, GRAPE",11
320485,"TOMATOES, GRAPE",11
320486,"TOMATOES, GRAPE",11
320487,"TOMATOES, GRAPE",11
320488,"TOMATOES, GRAPE",11
320489,"TOMATOES, GRAPE",11
320490,"TOMATOES, GRAPE",11
320491,"TOMATOES, GRAPE",11
320492,"TOMATOES, GRAPE",11
320493,"TOMATOES, GRAPE",11
320494,"TOMATOES, GRAPE",11
320495,"TOMATOES, GRAPE",11
320496,"TOMATOES, GRAPE",11
320497,"TOMATOES, GRAPE",11
320498,"TOMATOES, GRAPE",11
320499,"TOMATOES, GRAPE",11
320500,"TOMATOES, GRAPE",11
320501,"TOMATOES, GRAPE",11
320502,"TOMATOES, GRAPE",11
320503,"TOMATOES, GRAPE",11
320504,"TOMATOES, GRAPE",11
320505,"TOMATOES, GRAPE",11
320506,"TOMATOES, GRAPE",11
320507,"TOMATOES, GRAPE",11
320508,"TOMATOES, GRAPE",11
320509,"TOMATOES, GRAPE",11
320510,"TOMATOES, GRAPE",11
320511,"TOMATOES, GRAPE",11
320512,"TOMATOES, GRAPE",11
320513,"TOMATOES, GRAPE",11
320514,"TOMATOES, GRAPE",11
320515,"TOMATOES, GRAPE",11
320516,"TOMATOES, GRAPE",11
320517,"TOMATOES, GRAPE",11
320518,"TOMATOES, GRAPE",11
320519,"TOMATOES, GRAPE",11
320520,"TOMATOES, GRAPE",11
320521,"TOMATOES, GRAPE",11
320522,"TOMATOES, GRAPE",11
320523,"TOMATOES, GRAPE",11
320524,"TOMATOES, GRAPE",11
320525,"TOMATOES, GRAPE",11
320526,"TOMATOES, GRAPE",11
320527,"TOMATOES, GRAPE",11
321358,"Hummus, commercial",16
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1
321360,"Tomatoes, grape, raw",11
321361,"SALT, MORTON, IODIZED",2
321362,"SALT, MORTON, IODIZED",2
321363,Salt; iodized,2
321364,Salt; iodized,2
321365,Salt; iodized,2
321366,"Salt, Not Iodized",2
321367,"SALT, MORTON, IODIZED",2
321368,"SALT, MORTON, IODIZED",2
321369,Salt; iodized,2
321370,Salt; iodized,2
321371,Salt; iodized,2
321372,"Salt, Iodized",2
321373,"SALT, GREAT VALUE, IODIZED",2
321374,"SALT, GREAT VALUE, IODIZED",2
321375,Salt; iodized,2
321376,Salt; iodized,2
321377,Salt; iodized,2
321378,"Salt, Iodized",2
321379,"SALT, HEB IODIZED",2
321380,"SALT, HEB IODIZED",2
321381,Salt; iodized,2
321382,Salt; iodized,2
321383,Salt; iodized,2
321384,"SALT, MORTON, IODIZED",2
321385,"SALT, MORTON, IODIZED",2
321386,Salt; iodized,2
321387,Salt; iodized,2
321388,Salt; iodized,2
321389,"SALT, MORTON, IODIZED",2
321390,"SALT, MORTON, IODIZED",2
321391,Salt; iodized,2
321392,Salt; iodized,2
321393,Salt; iodized,2
321394,"SALT, MORTON, IODIZED",2
321395,"SALT, MORTON, IODIZED",2
321396,Salt; iodized,2
321397,Salt; iodized,2
321398,Salt; iodized,2
321399,"Salt, Iodized",2
321400,"SALT, MORTON, IODIZED",2
321401,"SALT, MORTON, IODIZED",2
321402,Salt; iodized,2
321403,Salt; iodized,2
321404,Salt; iodized,2
321405,"Salt, Iodized",2
321406,"SALT, LAURA LYNN, IODIZED",2
321407,"SALT, LAURA LYNN, IODIZED",2
321408,Salt; iodized,2
321409,Salt; iodized,2
321410,Salt; iodized,2
321411,"Salt, Iodized",2
321412,"SALT, ESSENTIAL EVERYDAY, IODIZED",2
321413,"SALT, ESSENTIAL EVERYDAY, IODIZED",2
321414,Salt; iodized,2
321415,Salt; iodized,2
321416,Salt; iodized,2
321417,"SALT, MORTON, IODIZED",2
321418,"SALT, MORTON, IODIZED",2
321419,Salt; iodized,2
321420,Salt; iodized,2
321421,Salt; iodized,2
321422,"Salt, Not Iodized",2
321423,"SALT, GREAT VALUE, IODIZED",2
321424,"SALT, GREAT VALUE, IODIZED",2
321425,Salt; iodized,2
321426,Salt; iodized,2
321427,Salt; iodized,2
321428,"Salt, Iodized",2
321429,"SALT, HY VEE, IODIZED",2
321430,"SALT, HY VEE, IODIZED",2
321431,Salt; iodized,2
321432,Salt; iodized,2
321433,Salt; iodized,2
321434,"Salt, Iodized",2
321435,"SALT, MORTON, IODIZED",2
321436,"SALT, MORTON, IODIZED",2
321437,Salt; iodized,2
321438,Salt; iodized,2
321439,Salt; iodized,2
321440,"Salt, Not Iodized",2
321441,"SALT, MORTON, IODIZED",2
321442,"SALT, MORTON, IODIZED",2
321443,Salt; iodized,2
321444,Salt; iodized,2
321445,Salt; iodized,2
